gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,act,at,capx,emp,invt,lct,ni,oibdp,rect,revt,xrd,xsga,costat,sic
002184,2015-01-31,2014,INDL,C,D,STD,BBY,BEST BUY CO INC,USD,11729.0000,15256.0000,561.0000,125.0000,5174.0000,7777.0000,1233.0000,2111.0000,1280.0000,40339.0000,0.0000,7592.0000,A,5731
002184,2016-01-31,2015,INDL,C,D,STD,BBY,BEST BUY CO INC,USD,9886.0000,13519.0000,649.0000,125.0000,5051.0000,6925.0000,897.0000,2162.0000,1162.0000,39528.0000,0.0000,7599.0000,A,5731
002184,2017-01-31,2016,INDL,C,D,STD,BBY,BEST BUY CO INC,USD,10516.0000,13856.0000,582.0000,125.0000,4864.0000,7122.0000,1228.0000,2387.0000,1347.0000,39403.0000,0.0000,7524.0000,A,5731
002184,2018-01-31,2017,INDL,C,D,STD,BBY,BEST BUY CO INC,USD,9829.0000,13049.0000,688.0000,125.0000,5209.0000,7817.0000,1000.0000,2636.0000,1049.0000,42151.0000,0.0000,7923.0000,A,5731
002184,2019-01-31,2018,INDL,C,D,STD,BBY,BEST BUY CO INC,USD,8870.0000,12901.0000,819.0000,125.0000,5409.0000,7513.0000,1464.0000,2736.0000,1015.0000,42879.0000,0.0000,7995.0000,A,5731
002184,2020-01-31,2019,INDL,C,D,STD,BBY,BEST BUY CO INC,USD,8857.0000,15591.0000,743.0000,125.0000,5174.0000,8060.0000,1541.0000,2865.0000,1149.0000,43638.0000,0.0000,7923.0000,A,5731
002184,2021-01-31,2020,INDL,C,D,STD,BBY,BEST BUY CO INC,USD,12540.0000,19067.0000,713.0000,102.0000,5612.0000,10521.0000,1798.0000,3445.0000,1061.0000,47262.0000,0.0000,7889.0000,A,5731
002184,2022-01-31,2021,INDL,C,D,STD,BBY,BEST BUY CO INC,USD,10539.0000,17504.0000,737.0000,105.0000,5965.0000,10674.0000,2454.0000,3879.0000,1042.0000,51761.0000,0.0000,8542.0000,A,5731
002184,2023-01-31,2022,INDL,C,D,STD,BBY,BEST BUY CO INC,USD,8802.0000,15803.0000,930.0000,90.0000,5140.0000,8979.0000,1419.0000,2860.0000,1141.0000,46298.0000,0.0000,7884.0000,A,5731
002184,2024-01-31,2023,INDL,C,D,STD,BBY,BEST BUY CO INC,USD,7897.0000,14967.0000,795.0000,85.0000,4958.0000,7909.0000,1241.0000,2650.0000,939.0000,43452.0000,0.0000,7815.0000,A,5731
002184,2025-01-31,2024,INDL,C,D,STD,BBY,BEST BUY CO INC,USD,8224.0000,14782.0000,706.0000,,5085.0000,8016.0000,927.0000,2600.0000,1044.0000,41528.0000,0.0000,7630.0000,A,5731
002703,2014-12-31,2014,INDL,C,D,STD,CDNAF,CANADIAN TIRE CORP  -CL A,CAD,8510.2000,14553.2000,538.6000,28.2720,1623.8000,4578.8000,604.0000,1365.4000,5674.0000,12462.9000,2.5000,2687.6000,A,5399
002703,2015-12-31,2015,INDL,C,D,STD,CDNAF,CANADIAN TIRE CORP  -CL A,CAD,8692.3000,14987.8000,515.9000,27.7720,1764.5000,3883.8000,659.4000,1459.8000,5591.3000,12279.6000,,2684.4000,A,5399
002703,2016-12-31,2016,INDL,C,D,STD,CDNAF,CANADIAN TIRE CORP  -CL A,CAD,8637.7000,15302.8000,617.3000,29.2200,1710.7000,4680.9000,669.1000,1551.6000,5795.1000,12681.0000,,2848.9000,A,5399
002703,2017-12-31,2017,INDL,C,D,STD,CDNAF,CANADIAN TIRE CORP  -CL A,CAD,8796.1000,15624.2000,471.0000,29.7100,1769.8000,4519.3000,735.0000,1686.2000,6319.4000,13434.9000,,2959.0000,A,5399
002703,2018-12-31,2018,INDL,C,D,STD,CDNAF,CANADIAN TIRE CORP  -CL A,CAD,9255.8000,17286.8000,416.8000,31.6860,1997.5000,5258.2000,692.1000,1697.4000,6313.0000,14058.7000,,3025.1000,A,5399
002703,2019-12-31,2019,INDL,C,D,STD,CDNAF,CANADIAN TIRE CORP  -CL A,CAD,9555.3000,19518.3000,435.2000,31.5740,2212.9000,5751.4000,778.4000,2125.4000,6746.6000,14534.4000,,2760.9000,A,5399
002703,2020-12-31,2020,INDL,C,D,STD,CDNAF,CANADIAN TIRE CORP  -CL A,CAD,10546.8000,20377.1000,307.2000,31.7860,2312.9000,5205.8000,751.8000,2256.3000,5941.4000,14871.0000,,2878.1000,A,5399
002703,2021-12-31,2021,INDL,C,D,STD,CDNAF,CANADIAN TIRE CORP  -CL A,CAD,11646.6000,21802.2000,630.6000,33.8920,2480.6000,6790.0000,1127.6000,2594.8000,6481.2000,16292.1000,,3258.1000,A,5399
002703,2022-12-31,2022,INDL,C,D,STD,CDNAF,CANADIAN TIRE CORP  -CL A,CAD,11530.4000,22102.3000,712.0000,34.6060,3216.1000,7147.0000,1044.1000,2608.1000,7400.8000,17810.6000,,3514.3000,A,5399
002703,2023-12-31,2023,INDL,C,D,STD,CDNAF,CANADIAN TIRE CORP  -CL A,CAD,11293.1000,21978.3000,580.9000,33.8060,2693.7000,6389.0000,213.3000,2103.0000,7750.8000,16656.5000,,3631.6000,A,5399
002703,2024-12-31,2024,INDL,C,D,STD,CDNAF,CANADIAN TIRE CORP  -CL A,CAD,11347.9000,22240.6000,576.3000,32.0560,2558.3000,6335.4000,887.7000,2112.8000,7755.2000,16357.8000,,3546.9000,A,5399
003007,2014-06-30,2014,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,210.8540,1490.6040,161.0660,55.5860,23.6430,466.1100,154.0390,419.5550,47.8500,2905.4520,0.0000,140.0090,A,5812
003007,2015-06-30,2015,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,189.7170,1435.8730,140.2620,53.0160,23.0350,418.4750,196.6940,457.2170,46.5880,3002.2780,0.0000,137.4580,A,5812
003007,2016-06-30,2016,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,176.7740,1472.7160,112.7880,58.3350,25.1040,432.4430,200.7450,476.5930,43.9440,3257.4890,0.0000,142.0240,A,5812
003007,2017-06-30,2017,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,154.3920,1413.7000,102.5730,57.9060,24.9970,446.4280,150.8230,424.8790,44.6580,3150.8370,0.0000,142.0930,A,5812
003007,2018-06-30,2018,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,156.2840,1347.3400,101.2810,58.4780,24.2420,434.3400,125.8820,390.1170,53.6590,3135.4170,0.0000,155.9500,A,5812
003007,2019-06-30,2019,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,177.0000,1258.3000,167.6000,56.1470,23.2000,421.6000,154.9000,351.4000,69.6000,3217.9000,0.0000,171.9000,A,5812
003007,2020-06-30,2020,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,224.4000,2356.0000,104.5000,62.2000,27.3000,497.9000,24.4000,246.2000,87.7000,3078.5000,0.0000,162.4000,A,5812
003007,2021-06-30,2021,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,207.2000,2274.9000,94.0000,59.4910,28.9000,571.6000,131.6000,360.8000,88.2000,3337.8000,0.0000,142.5000,A,5812
003007,2022-06-30,2022,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,201.2000,2484.4000,150.3000,62.0250,35.6000,558.0000,117.6000,338.2000,70.9000,3804.1000,0.0000,161.0000,A,5812
003007,2023-06-30,2023,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,183.3000,2487.0000,184.9000,64.3230,34.5000,535.9000,102.6000,324.1000,60.9000,4133.2000,0.0000,176.0000,A,5812
003007,2024-06-30,2024,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,234.1000,2593.1000,198.9000,68.8520,34.5000,622.3000,155.3000,420.7000,60.6000,4415.1000,0.0000,206.6000,A,5812
